Location name,Amount spent (ARS)
Buenos Aires,464194
Catamarca,29331
Chaco,42338
Chubut,60092
Ciudad Autónoma de Buenos Aires,104327
Corrientes,22764
Córdoba,1284784
Entre Rios,26552
Formosa,12498
Jujuy,9403
La Pampa,46821
La Rioja,18234
Mendoza,27788
Misiones,14911
Neuquén,56941
Río Negro,16596
Salta,104008
San Juan,31510
San Luis,51799
Santa Cruz,5946
Santa Fe,299391
Santiago del Estero,7914
Tierra del Fuego,23360
Tucuman,27829
Unknown,≤100
