Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
190739554295848,אפי נוה,אפי נוה,8760,12
2249582785307318,"עו""ד עמית בכר, ראש לשכת עורכי הדין","עו""ד עמית בכר, ראש לשכת עורכי הדין",2333,7
107217383988190,מגזין אפוק,Epoch Magazine,2142,25
500238833397356,ציפי ברנד,ציפי ברנד,1960,19
134896023193138,יוזמת ז'נבה,יוזמת ז'נבה,1633,6
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,1304,4
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",985,21
112848572066805,מחאת ההייטק,מחאת ההייטק,843,19
189208555041327,המיזם למיגור העישון,המיזם למיגור העישון בישראל,800,27
109221276098008,מעוף משרות דרושים - Maof Jobs Page,Maof,799,9
256546887847232,עיריית רמת גן,עיריית רמת גן,798,6
204780362875106,מקור ראשון,מקור ראשון,790,93
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,726,10
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,657,32
431367200941854,מיכל שיר - Michal Shir,מיכל שיר - Michal Shir,653,3
295041184911,עמל- הרב תחומי,Amalnet,653,2
117177111377152,Шломи Лахьяни,שלומי לחיאני,639,2
218832864804823,הקריה האקדמית אונו - מינהל הציונות הדתית,הקריה האקדמית אונו - מנהל הציונות הדתית,636,13
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,606,2
106021541456343,קארן טל - Karen Tal,קארן טל - Karen Tal,561,2
303720457847,לשכת רואי חשבון בישראל,לשכת רואי חשבון בישראל,558,4
219256864871723,Lea Fadida לאה פדידה,Lea Fadida לאה פדידה,553,3
370270343005611,ישראל ביתנו,Avigdor Liberman - אביגדור ליברמן,547,8
615531405455497,הדר לביא,הדר לביא,528,8
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,514,5
977353718949028,מיקי זוהר-  Micki Zohar,ח״כ מיקי זוהר  Micki Zohar,501,1
2241550506131359,שמואל בוקסר,שמואל בוקסר,500,2
100900832922166,אחים לנשק-לוחמים ולוחמות במסע להצלת הדמוקרטיה,אחים לנשק-לוחמים ולוחמות במסע להצלת הדמוקרטיה,493,5
110917020553426,Ari Shavit - ארי שביט,Ari Shavit - ארי שביט,493,6
546024288762312,"ד""ר יחיאל לסרי","ד""ר יחיאל לסרי",480,7
178433145502975,Avigdor Liberman - אביגדור ליברמן,Avigdor Liberman - אביגדור ליברמן,477,4
205544429526773,תג מאיר: אור במקום טרור,תג מאיר: אור במקום טרור,471,4
162089177185799,התאחדות התעשיינים בישראל,התאחדות התעשיינים בישראל,438,4
1915868198652314,האם ראית את האופק לאחרונה?,האם ראית את האופק לאחרונה?,432,3
337591096309750,Embassy of Ukraine in the State of Israel,Embassy of Ukraine in the State of Israel,425,2
108003595625725,"עו""ד תומר בכר לראשות מחוז תל אביב בלשכת עורכי הדין",תומר בכר משרד עורכי דין,415,15
173718822661352,מהפך - تغيير,מהפך - تغيير,401,5
483531221776771,BTB - Be The Bank.,These ads ran without a disclaimer,393,2
124191360932729,התעוררות בירושלים,התעוררות בירושלים,390,5
219091481560790,מרים פיירברג - איכר,נתניה אחת,379,1
271404389601060,Yaakov Hagoel - יעקב חגואל,Yaakov Hagoel - יעקב חגואל,368,4
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,364,39
421210797920379,מועצה אזורית בנימין,מועצה אזורית בנימין,363,2
536794249813012,תומר גלאם - Tomer Glam,עיריית אשקלון,359,2
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",343,26
155361257852670,AM:PM - City market,AM:PM - City market,342,5
767262423350854,פורום הדיור הציבורי,פורום הדיור הציבורי,330,3
311390516402185,מפלגת כחול לבן,מפלגת כחול לבן,326,3
107107231197546,אלון אזולאי -Alon Azulay,אלון אזולאי -Alon Azulay,319,5
111707201911192,"עו""ד אדיר צבי - Adir Zvi Adv","עו""ד אדיר צבי",317,3
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,312,4
443505192443192,A Land for All ארץ לכולם بلاد للجميع,A Land for All ארץ לכולם بلاد للجميع,310,5
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,299,5
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,296,6
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,295,4
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,288,12
110667778701303,"עו""ד ענת קאופמן - Anat Kaufman ADV",ענת קאופמן,284,12
161804953943328,Яир Лапид,יש עתיד - בראשות יאיר לפיד,276,4
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,270,1
100978407934166,תנועה ישראלית,Israeli Movement,263,15
159416337497662,Nir Barkat - ניר ברקת,Nir Barkat - ניר ברקת,260,1
145711348806563,רשות התאגידים,משרד המשפטים,255,1
108760035823125,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,249,17
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,245,4
103185328887035,דניאל ליזרוביץ',דניאל ליזרוביץ',240,7
1921160331531297,Act. تغيير اعلامي,סיכוי אופוק - سيكوي أفق,240,2
114630296604026,"Davar - Workers, Society and Economy in Israel",דבר העובדים בארץ ישראל,235,4
1484712825147171,Tomer Warsha Adv • Immigration to Israel • Aliya • Immigrants • Citizenship,"משרד עו""ד תומר ורשה",222,11
