Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
71617814288,Padilla,These ads ran without a disclaimer,11420,6
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,2627,9
1534982756793690,Foodvisor,These ads ran without a disclaimer,2347,3
740116816003959,Western Cape Government,Western Cape Government,2030,18
6011868110,Democratic Alliance,Democratic Alliance,1217,2
100228168822390,VF Plus- Kaap Agulhas,Vryheidsfront Plus / Freedom Front Plus,1009,7
57206003848,Greenpeace Africa,Greenpeace Africa,1005,1
136956534616,Times LIVE,TimesLIVE,953,18
107681864296588,Western Cape Gambling and Racing Board,Western Cape Gambling and Racing Board,902,6
133307190069756,Amnesty International South Africa,Amnesty International South Africa,685,4
1479166275635514,Western Cape Provincial Parliament,Western Cape Provincial Parliament,600,2
478479492268974,Sunday Times ZA,Sunday Times,507,6
114506216924214,Centre For Risk Analysis,Centre For Risk Analysis,450,3
2145594122138312,Action Society,Action Society,404,4
1742410059361710,AwakeMzansi,Awake Mzansi,400,1
116657351312927,Pledge To Vote SA,Pledge to Vote,311,12
107169379305548,TLU SA,TLU SA,285,5
100827405690611,Midvaal Mayor Peter Teixeira,Midvaal Local Municipality,251,3
106172744063430,The Daily Friend,The Daily Friend,248,16
225941290782035,Parliament of the Republic of South Africa,Parliament of the Republic of South Africa,224,1
111326403969815,DA Nelson Mandela Bay,Democratic Alliance,207,1
446648162438519,Thisisacumen,Acumen Media Management,198,2
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,191,2
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,186,6
379138726819,ACDP,African Christian Democratic Party,174,2
165736836881428,GroundUp,GroundUp News NPC,163,2
448191278579586,Democratic Alliance Gauteng,Democratic Alliance Gauteng,156,4
181204251979581,NEASA,National Employers' Association of South Africa,154,3
529955580364212,SMA International,These ads ran without a disclaimer,141,1
147301545821830,Vryheidsfront Plus Wes-Kaap / Freedom Front Plus Western Cape,Vryheidsfront Plus / Freedom Front Plus,≤100,6
108373474911757,Cederberg Eerste Gemeenskapsorganisasie,Cederberg Eerste Gemeenskapsorganisasie,≤100,2
100445789444317,DA EC Legislature,Democratic Alliance,≤100,1
614441158766955,Vote Dr Sipho P. Malapane 2024,Sipho Pienaar Malapane,≤100,5
103278761413963,Empowering SA,Empowering SA,≤100,1
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100,4
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance,≤100,1
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100,2
104692291218239,DA Free State Future Leaders Programme,Democratic Alliance Free State,≤100,2
115495645204719,Whale Coast FM,John Mathew,≤100,1
629021617133721,Judges Matter,Judges Matter,≤100,5
1770207119865540,Civics Academy ZA,Civics Academy ZA,≤100,1
102516258668317,Siza Water,Fahim N Farzanah Dawood,≤100,1
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100,5
141100792595323,Community Chest Durban,Gordon Mc Donald,≤100,1
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,≤100,1
597918073626793,Democratic Alliance Free State,Democratic Alliance Free State,≤100,3
1408620202688442,DA Mosselbaai Wyk 8,"Coetzee, Lodewyk Juan",≤100,1
321608464631258,Metropolitan,These ads ran without a disclaimer,≤100,1
10750083165,The Africa Report,These ads ran without a disclaimer,≤100,5
104067812304113,Genetic Systems,These ads ran without a disclaimer,≤100,1
153687711327670,Clean Cooking Alliance,These ads ran without a disclaimer,≤100,1
100717965337867,Commonwealth Union,These ads ran without a disclaimer,≤100,1
100260912543505,Ongea Foundation,These ads ran without a disclaimer,≤100,1
103193692690093,Green Feed,These ads ran without a disclaimer,≤100,1
339453226414466,Douglas Dubois Sebamala,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,3
208338536239798,This Is Beijing,These ads ran without a disclaimer,≤100,2
100696642943720,Daily Green,These ads ran without a disclaimer,≤100,3
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
106614631788380,Kitco Mining,These ads ran without a disclaimer,≤100,1
