Location name,Amount spent (CZK)
Central Bohemian Region,12435
Hradec Králové Region,5006
Karlovy Vary Region,2913
Liberec Region,3805
Moravian-Silesian Region,9498
Olomouc Region,4983
Pardubice Region,4112
Plzeň Region,5607
Prague,25898
South Bohemian Region,5222
South Moravian Region,13141
Unknown,≤100
Vysočina Region,4158
Zlín Region,5064
Ústí nad Labem Region,6601
