Location name,Amount spent (ZAR)
Eastern Cape,1030
Free State,353
Gauteng,5783
KwaZulu-Natal,966
Limpopo,361
Mpumalanga,351
North West,261
Northern Cape,119
Unknown,≤100
Western Cape,3607
