Location name,Amount spent (USD)
Chukha District,≤100
Dagana District,≤100
Haa District,≤100
Mongar District,≤100
Paro District,≤100
Punakha District,≤100
Samtse District,≤100
Thimphu District,≤100
Wangdue Phodrang District,≤100
