Location name,Amount spent (MXN)
Aguascalientes,2626
Baja California,11537
Baja California Sur,2219
Campeche,13190
Chiapas,9509
Chihuahua,11353
Coahuila de Zaragoza,8407
Colima,1937
Distrito Federal,42734
Durango,4060
Guanajuato,36509
Guerrero,6558
Hidalgo,8426
Jalisco,23837
Michoacán de Ocampo,16282
Morelos,4331
Nayarit,2458
Nuevo León,23714
Oaxaca,6638
Puebla,11787
Querétaro Arteaga,11025
Quintana Roo,8315
San Luis Potosi,12367
Sinaloa,6331
Sonora,8484
State of Mexico,72093
Tabasco,6848
Tamaulipas,19502
Tlaxcala,2499
Unknown,≤100
Veracruz,15277
Yucatán,20174
Zacatecas,3006
