Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,385
Bicol Region,2526
Cagayan Valley,1737
Calabarzon,9013
Caraga,2737
Central Luzon,8785
Central Visayas,4203
Cordillera Administrative Region,767
Davao Region,2022
Eastern Visayas,2457
Ilocos Region,2405
Metro Manila,13821
Mimaropa,1968
Northern Mindanao,3873
Soccsksargen,1648
Unknown,≤100
Western Visayas,5436
Zamboanga Peninsula,1185
