Location name,Amount spent (EUR)
Baden-Württemberg,4965
Bayern,6035
Berlin,3894
Brandenburg,848
Bremen,753
Hamburg,1751
Hessen,3985
Mecklenburg-Vorpommern,689
Niedersachsen,3259
Nordrhein-Westfalen,7691
Rheinland-Pfalz,1981
Saarland,785
Sachsen,1606
Saxony-Anhalt,701
Schleswig-Holstein,1243
Thüringen,791
Unknown,≤100
