Location name,Amount spent (GTQ)
Alta Verapaz Department,553
Baja Verapaz Department,250
Chimaltenango Department,727
Chiquimula Department,412
El Progreso Department,221
Escuintla Department,1110
Guatemala Department,15267
Huehuetenango Department,1283
Izabal Department,1062
Jalapa Department,301
Jutiapa Department,543
Petén Department,447
Quetzaltenango Department,1754
Quiché Department,905
Retalhuleu Department,591
Sacatepéquez Department,785
San Marcos Department,2632
Santa Rosa Department,361
Sololá Department,423
Suchitepéquez Department,629
Totonicapán Department,402
Unknown,≤100
Zacapa Department,271
