Location name,Amount spent (IDR)
Aceh,1699766
Bali,2273488
Bangka–Belitung Islands,460099
Banten,3598165
Bengkulu,969518
Central Java,12348274
Central Kalimantan,928067
Central Sulawesi,1241137
East Java,17290279
East Kalimantan,2150224
East Nusa Tenggara,1817692
Gorontalo,717655
Jakarta,7675801
Jambi,1182417
Lampung,2494128
Maluku,1212903
North Kalimantan,339421
North Maluku,613871
North Sulawesi,2329079
North Sumatra,4179389
Papua (province),1032977
Riau,2039381
Riau Islands Province,1116726
South Kalimantan,1250166
South Sulawesi,3786346
South Sumatra,2900395
Southeast Sulawesi,932834
Special Region of Yogyakarta,2065823
Unknown,2637
West Java,14435535
West Kalimantan,2299304
West Nusa Tenggara,2103045
West Papua,567257
West Sulawesi,566430
West Sumatra,1528993
