Location name,Amount spent (EUR)
Blagoevgrad Province,297
Burgas Province,386
Dobrich Province,150
Gabrovo Province,120
Haskovo Province,194
Kardzhali Province,151
Kyustendil Province,125
Lovech Province,143
Montana Province,128
Pazardzhik Province,217
Pernik Province,144
Pleven Province,206
Plovdiv Province,623
Razgrad Province,143
Ruse Province,183
Shumen Province,134
Silistra Province,108
Sliven Province,180
Smolyan Province,120
Sofia City Province,1174
Sofia Province,176
Stara Zagora Province,283
Targovishte Province,130
Unknown,≤100
Varna Province,418
Veliko Tarnovo Province,230
Vidin Province,132
Vratsa Province,204
Yambol Province,140
