Location name,Amount spent (ZAR)
Eastern Cape,1794
Free State,852
Gauteng,4058
KwaZulu-Natal,2129
Limpopo,850
Mpumalanga,843
North West,607
Northern Cape,365
Unknown,≤100
Western Cape,5979
