Location name,Amount spent (SEK)
Blekinge County,4267
Dalarna County,8748
Gotland County,1972
Gävleborg County,8973
Halland County,8099
Jämtland County,4294
Jönköping County,11197
Kalmar County,6373
Kronoberg County,5972
Norrbotten County,7564
Skåne County,40123
Stockholm County,74658
Södermanland County,8557
Unknown,≤100
Uppsala County,12583
Värmland County,8330
Västerbotten County,8291
Västernorrland County,7335
Västmanland County,7736
Västra Götaland County,52552
Örebro County,8901
Östergötland County,13931
