Location name,Amount spent (DKK)
Capital Region of Denmark,38826
Central Denmark Region,17836
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7708
Region of Southern Denmark,17824
Unknown,≤100
Zealand Region,10766
