Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
532962446729390,Australian Families,Department of Social Services,6982,49
102329728050606,Yes23,Yes23,4393,69
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,4308,290
528169690561801,Cameron Caldwell,Liberal National Party of Queensland,4189,9
334563333634959,Australian Government Department of Education,Australian Government Department of Education,2851,7
119271104477423,Save Your Local Pharmacy,The Pharmacy Guild of Australia,2613,48
299753643444311,AEC,Australian Electoral Commission,2324,4
927439480613235,Minerals Council of Australia,Minerals Council of Australia,1703,2
104180525925926,Fair Australia,Advance Australia,1462,26
1776727752614025,Glencore,Glencore Australia,1200,13
233539463360143,Mining & Energy Union,CFMEU Mining & Energy,1193,21
49453745631,Amnesty International Australia,Amnesty International Australia,937,25
160054227468,World Vision Australia,World Vision Australia,858,9
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,812,14
92824008332,Plan International Australia,Plan International Australia,794,17
134712696593275,Dan Andrews,Daniel Andrews MP,766,14
117806591312470,Not Enough,Advance Australia,749,23
113998151684022,Referendum News,Advance Australia,723,13
231341250224498,Australian Ethical Investment,Australian Ethical Investment,655,19
471390022952217,APPEA - Our Natural Advantage,APPEA,642,25
350996037887,Beyond Zero Emissions,Beyond Zero Emissions,636,20
447447719391089,Health Care Providers Association,Health Care Providers Association,636,7
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,583,1
103259978010848,SA Government,South Australian Government,541,39
89794331215,Oxfam,Oxfam Australia,495,46
181578525342930,Master Builders Australia,Master Builders Australia,494,24
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,493,10
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,480,9
10113538711,WWF-Australia,WWF-Australia,479,5
125812604095801,Invasive Species Council,Invasive Species Council,473,53
694832627392516,Prime Super,Prime Super,473,27
112129948486119,National Poll,Curious Minds Media Pty Ltd,464,10
59024478936,Monash University,Monash University,445,20
494820897261439,Bank Australia,Bank Australia,433,18
105140971475089,Chuffed.org - Australia,Chuffed.org,415,5
1445863699024135,Business Council of Australia,Business Council of Australia,413,15
344541828914372,CFMEU WA,CFMEU Construction & General Western Australia Branch,379,5
120075541104233,Gold Coast Labor,Queensland Labor,348,3
1670517743250253,Save the Daintree Rainforest,Rainforest 4 Foundation Ltd,336,25
