Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1048
Bicol Region,14653
Cagayan Valley,2967
Calabarzon,28199
Caraga,2236
Central Luzon,14877
Central Visayas,8551
Cordillera Administrative Region,1432
Davao Region,7947
Eastern Visayas,4461
Ilocos Region,4911
Metro Manila,51575
Mimaropa,3051
Northern Mindanao,4599
Soccsksargen,5250
Unknown,≤100
Western Visayas,9234
Zamboanga Peninsula,2567
