Location name,Amount spent (INR)
Andaman and Nicobar Islands,216
Andhra Pradesh,56436
Arunachal Pradesh,2451
Assam,17529
Bihar,46418
Chandigarh,2634
Chhattisgarh,31902
Dadra and Nagar Haveli,986
Delhi,58161
Goa,13332
Gujarat,58925
Haryana,36600
Himachal Pradesh,18271
Jammu and Kashmir,8905
Jharkhand,17258
Karnataka,9127632
Kerala,16381
Lakshadweep,≤100
Madhya Pradesh,80310
Maharashtra,145231
Manipur,337
Meghalaya,5289
Mizoram,776
Nagaland,3872
Odisha,23584
Puducherry,3408
Punjab region,158309
Rajasthan,150610
Sikkim,618
Tamil Nadu,212433
Telangana,72962
Tripura,2201
Unknown,5444
Uttar Pradesh,318662
Uttarakhand,13535
West Bengal,71040
