Location name,Amount spent (TRY)
Adana Province,1058
Adıyaman Province,≤100
Afyonkarahisar Province,330
Aksaray Province,172
Amasya Province,≤100
Ankara Province,1383
Antalya Province,844
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,696
Ağrı Province,≤100
Balıkesir Province,297
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,956
Denizli Province,2001
Diyarbakır Province,152
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,414
Gaziantep Province,395
Giresun Province,126
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,450
Isparta Province,146
Istanbul Province,8554
Iğdır Province,≤100
Kahramanmaraş Province,191
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,314
Kilis Province,≤100
Kocaeli Province,430
Konya Province,523
Kütahya Province,112
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,324
Mardin Province,≤100
Mersin Province,2530
Muğla Province,481
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,181
Osmaniye Province,189
Rize Province,≤100
Sakarya Province,101
Samsun Province,967
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,109
Tekirdağ Province,582
Tokat Province,≤100
Trabzon Province,162
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,128
Çanakkale Province,368
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,2391
Şanlıurfa Province,241
Şırnak Province,≤100
