Location name,Amount spent (ZAR)
Eastern Cape,1379
Free State,809
Gauteng,5436
KwaZulu-Natal,1821
Limpopo,841
Mpumalanga,812
North West,663
Northern Cape,444
Unknown,≤100
Western Cape,8560
