Location name,Amount spent (DKK)
Capital Region of Denmark,24250
Central Denmark Region,11717
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5117
Region of Southern Denmark,10676
Unknown,≤100
Zealand Region,7088
