Location name,Amount spent (PLN)
Greater Poland Voivodeship,5834
Kuyavian-Pomeranian Voivodeship,3692
Lesser Poland Voivodeship,4980
Lower Silesian Voivodeship,5150
Lublin Voivodeship,2815
Lubusz Voivodeship,2252
Masovian Voivodeship,10893
Opole Voivodeship,1521
Podkarpackie Voivodeship,2487
Podlaskie Voivodeship,1411
Pomeranian Voivodeship,3985
Silesian Voivodeship,6838
Unknown,≤100
Warmian-Masurian Voivodeship,2051
West Pomeranian Voivodeship,4008
Łódź Voivodeship,5751
Świętokrzyskie Voivodeship,1619
