Location name,Amount spent (MYR)
Johor,1119
Kedah,577
Kelantan,412
Kuala Lumpur,1099
Labuan,≤100
Malacca,120
Negeri Sembilan,147
Pahang,400
Penang,184
Perak,273
Perlis,≤100
Putrajaya,≤100
Sabah,656
Sarawak,178
Selangor,1569
Terengganu,165
Unknown,≤100
