Location name,Amount spent (EUR)
Alsace,545
Aquitaine,1104
Auvergne,354
Basse-Normandie,346
Bourgogne,389
Bretagne,897
Centre,619
Champagne-Ardenne,357
Corse,164
Franche-Comté,244
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,481
Languedoc-Roussillon,984
Limousin,198
Lorraine,718
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,791
New Caledonia,≤100
Nord-Pas-de-Calais,994
Pays de la Loire,901
Picardie,486
Poitou-Charentes,494
Provence-Alpes-Côte d'Azur,2164
Reunion Island,≤100
Rhône-Alpes,1953
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4319
