Location name,Amount spent (CZK)
Central Bohemian Region,9858
Hradec Králové Region,4309
Karlovy Vary Region,1923
Liberec Region,2985
Moravian-Silesian Region,7497
Olomouc Region,4554
Pardubice Region,3874
Plzeň Region,3834
Prague,21202
South Bohemian Region,4017
South Moravian Region,10110
Unknown,≤100
Vysočina Region,3998
Zlín Region,3673
Ústí nad Labem Region,6094
