Location name,Amount spent (INR)
Andaman and Nicobar Islands,183
Andhra Pradesh,112205
Arunachal Pradesh,1274
Assam,14312
Bihar,59776
Chandigarh,3650
Chhattisgarh,144481
Dadra and Nagar Haveli,589
Delhi,43811
Goa,3007
Gujarat,48380
Haryana,34178
Himachal Pradesh,11238
Jammu and Kashmir,4847
Jharkhand,16337
Karnataka,46314
Kerala,13452
Lakshadweep,≤100
Madhya Pradesh,283436
Maharashtra,161368
Manipur,249
Meghalaya,668
Mizoram,2055
Nagaland,540
Odisha,11975
Puducherry,483
Punjab region,25991
Rajasthan,346901
Sikkim,610
Tamil Nadu,47372
Telangana,134234
Tripura,1480
Unknown,≤100
Uttar Pradesh,104807
Uttarakhand,22900
West Bengal,32670
