Location name,Amount spent (SEK)
Blekinge County,4220
Dalarna County,8690
Gotland County,1910
Gävleborg County,8983
Halland County,8397
Jämtland County,4038
Jönköping County,10009
Kalmar County,6379
Kronoberg County,5235
Norrbotten County,7676
Skåne County,43996
Stockholm County,80243
Södermanland County,8937
Unknown,≤100
Uppsala County,11857
Värmland County,9270
Västerbotten County,9173
Västernorrland County,7120
Västmanland County,8605
Västra Götaland County,54751
Örebro County,10016
Östergötland County,16345
