Location name,Amount spent (ISK)
Capital Region,76784
Eastern Region,4017
Northeastern Region,11474
Northwestern Region,2584
Southern Peninsula,8356
Southern Region,10250
Unknown,≤100
Western Region,4631
Westfjords,2703
