Page ID,Page name,Disclaimer,Amount spent (XAF),Number of ads in Library
507159559468575,Rick Gerald Bokilo Député,These ads ran without a disclaimer,1048,2
931458143625686,Maître Avatar Jean Pierre Manzolo,These ads ran without a disclaimer,114,1
100449771743974,paratteguikoume,These ads ran without a disclaimer,≤100,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
203258276412823,Fondations Somdiaa,These ads ran without a disclaimer,≤100,1
382377315238468,"Educational Research Center, Inc.",These ads ran without a disclaimer,≤100,2
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
435381440344317,Dylan Ogline,These ads ran without a disclaimer,≤100,1
481442475370677,World Internet Conference,These ads ran without a disclaimer,≤100,1
100659952606237,Apôtre Sangu Caleb,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
