Location name,Amount spent (SEK)
Blekinge County,4135
Dalarna County,9322
Gotland County,2174
Gävleborg County,9119
Halland County,9567
Jämtland County,4133
Jönköping County,10053
Kalmar County,6336
Kronoberg County,5001
Norrbotten County,8133
Skåne County,41161
Stockholm County,72457
Södermanland County,8947
Unknown,≤100
Uppsala County,15442
Värmland County,7820
Västerbotten County,8297
Västernorrland County,7160
Västmanland County,7794
Västra Götaland County,49580
Örebro County,8409
Östergötland County,14000
