Location name,Amount spent (CZK)
Central Bohemian Region,9740
Hradec Králové Region,3827
Karlovy Vary Region,2022
Liberec Region,3143
Moravian-Silesian Region,7654
Olomouc Region,4322
Pardubice Region,3791
Plzeň Region,4185
Prague,19622
South Bohemian Region,4214
South Moravian Region,9799
Unknown,≤100
Vysočina Region,3022
Zlín Region,3988
Ústí nad Labem Region,6460
