Location name,Amount spent (ZAR)
Eastern Cape,547
Free State,896
Gauteng,3359
KwaZulu-Natal,1157
Limpopo,261
Mpumalanga,295
North West,238
Northern Cape,154
Unknown,≤100
Western Cape,5610
