Location name,Amount spent (EGP)
Al Sharqia Governorate,1624
Alexandria Governorate,947
Aswan Governorate,136
Asyut Governorate,331
Beheira Governorate,442
Beni Suef Governorate,215
Cairo Governorate,3162
Dakahlia Governorate,727
Damietta Governorate,211
Faiyum Governorate,206
Gharbia Governorate,534
Giza Governorate,1074
Ismailia Governorate,172
Kafr el-Sheikh Governorate,311
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,393
Monufia Governorate,408
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,223
Qalyubia Governorate,1394
Qena Governorate,221
Red Sea Governorate,≤100
Sohag Governorate,371
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
