Location name,Amount spent (PYG)
Alto Paraguay Department,16640
Alto Paraná Department,241598
Amambay Department,9419
Asunción,328407
Boquerón department,12788
Caaguazú Department,82716
Caazapá Department,4793
Canindeyú Department,10527
Central Department,1509856
Concepción Department (Paraguay),15691
Cordillera Department,22790
Guairá Department,9777
Itapúa Department,43237
Misiones Department,82513
Paraguarí Department,10838
Presidente Hayes Department,16612
San Pedro Department,12802
Unknown,≤100
Ñeembucú Department,21259
