Location name,Amount spent (USD)
Abidjan,≤100
Bas-Sassandra,≤100
Comoé District,≤100
Denguélé,≤100
Gôh-Djiboua District,≤100
Lacs District,≤100
Lagunes,≤100
Lagunes District,≤100
Montagnes District,≤100
Sassandra-Marahoué District,≤100
Unknown,≤100
Vallée du Bandama,≤100
Woroba District,≤100
Yamoussoukro,≤100
Zanzan,≤100
