Location name,Amount spent (PKR)
Azad Kashmir,1140
Balochistan,1765
Federally Administered Tribal Areas,345
Gilgit-Baltistan,925
Islamabad Capital Territory,14014
Khyber Pakhtunkhwa,9121
Punjab,33234
Sindh,13744
Unknown,≤100
