Location name,Amount spent (COP)
Amazonas,4667
Antioquia,7286004
Arauca,15383
Atlantico,834659
Bolivar,231479
Boyaca,205176
Caldas,602009
Caqueta,83762
Casanare,72791
Cauca,360660
Cesar,155812
Choco,23182
Cordoba,248955
Cundinamarca,1013394
Distrito Especial,2859665
Guainia,623
Guaviare,4943
Huila,377336
La Guajira,58111
Magdalena,112387
Meta,666325
Narino,170062
Norte de Santander,926350
Putumayo,85118
Quindio,185632
Risaralda,801444
San Andres y Providencia,5984
Santander,763348
Sucre,76811
Tolima,137190
Unknown,1477
Valle del Cauca,3452703
Vaupes,259
Vichada,875
