Location name,Amount spent (MYR)
Johor,1934
Kedah,561
Kelantan,241
Kuala Lumpur,1942
Labuan,≤100
Malacca,209
Negeri Sembilan,643
Pahang,203
Penang,1060
Perak,458
Perlis,≤100
Putrajaya,≤100
Sabah,312
Sarawak,386
Selangor,3726
Terengganu,211
Unknown,≤100
