Location name,Amount spent (COP)
Amazonas,1174
Antioquia,7366853
Arauca,34827
Atlantico,1032992
Bolivar,185820
Boyaca,57919
Caldas,360291
Caqueta,42394
Casanare,61142
Cauca,134591
Cesar,65894
Choco,58879
Cordoba,140970
Cundinamarca,452609
Distrito Especial,1155917
Guainia,1196
Guaviare,6123
Huila,302141
La Guajira,32484
Magdalena,371964
Meta,330383
Narino,87643
Norte de Santander,373894
Putumayo,221257
Quindio,77119
Risaralda,715510
San Andres y Providencia,3859
Santander,873258
Sucre,59279
Tolima,361235
Unknown,≤100
Valle del Cauca,2535887
Vaupes,174
Vichada,603
