Location name,Amount spent (JPY)
Aichi Prefecture,60993
Akita Prefecture,35711
Aomori Prefecture,3866
Chiba Prefecture,59798
Ehime Prefecture,6662
Fukui Prefecture,22339
Fukuoka Prefecture,119117
Fukushima Prefecture,5862
Gifu Prefecture,13167
Gunma Prefecture,32706
Hiroshima Prefecture,42146
Hokkaido,30138
Hyōgo Prefecture,40996
Ibaraki Prefecture,13058
Ishikawa Prefecture,6428
Iwate Prefecture,4053
Kagawa Prefecture,6535
Kagoshima Prefecture,13137
Kanagawa Prefecture,80901
Kumamoto Prefecture,14174
Kyoto Prefecture,22973
Kōchi Prefecture,2587
Mie Prefecture,11451
Miyagi Prefecture,13323
Miyazaki Prefecture,5899
Nagano Prefecture,20852
Nagasaki Prefecture,9560
Nara Prefecture,10017
Niigata Prefecture,11558
Okayama Prefecture,13679
Okinawa Prefecture,8248
Osaka Prefecture,75247
Saga Prefecture,5794
Saitama Prefecture,50794
Shiga Prefecture,30773
Shimane Prefecture,7341
Shizuoka Prefecture,21563
Tochigi Prefecture,40882
Tokushima Prefecture,3955
Tokyo,122829
Tottori Prefecture,1740
Toyama Prefecture,5050
Unknown,≤100
Wakayama Prefecture,6071
Yamagata Prefecture,5536
Yamaguchi Prefecture,6507
Yamanashi Prefecture,4607
Ōita Prefecture,15074
