Location name,Amount spent (ZAR)
Eastern Cape,936
Free State,658
Gauteng,4634
KwaZulu-Natal,1653
Limpopo,584
Mpumalanga,574
North West,466
Northern Cape,213
Unknown,≤100
Western Cape,17987
