Location name,Amount spent (HUF)
Baranya County,75206
Borsod-Abaúj-Zemplén County,116332
Budapest,471706
Bács-Kiskun County,89358
Békés County,63987
Csongrád County,84965
Fejér County,90978
Győr-Moson-Sopron County,98067
Hajdú-Bihar County,95757
Heves County,68312
Jász-Nagykun-Szolnok County,70283
Komárom-Esztergom County,58091
Nógrád County,35050
Pest County,222105
Somogy County,52937
Szabolcs-Szatmár-Bereg County,105484
Tolna County,39370
Unknown,≤100
Vas County,51286
Veszprém County,63412
Zala County,62860
