Location name,Amount spent (TRY)
Adana Province,354
Adıyaman Province,≤100
Afyonkarahisar Province,718
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,1653
Antalya Province,1064
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,263
Ağrı Province,≤100
Balıkesir Province,1016
Bartın Province,277
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,864
Denizli Province,197
Diyarbakır Province,122
Düzce Province,4876
Edirne Province,118
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,174
Gaziantep Province,247
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,316
Isparta Province,≤100
Istanbul Province,10711
Iğdır Province,≤100
Kahramanmaraş Province,144
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,200
Kilis Province,≤100
Kocaeli Province,440
Konya Province,562
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,521
Mardin Province,≤100
Mersin Province,402
Muğla Province,390
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,135
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,330
Samsun Province,524
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,241
Tokat Province,197
Trabzon Province,170
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,101
Yozgat Province,≤100
Zonguldak Province,8091
Çanakkale Province,295
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1253
Şanlıurfa Province,155
Şırnak Province,≤100
