Location name,Amount spent (SEK)
Blekinge County,9069
Dalarna County,19939
Gotland County,3872
Gävleborg County,19449
Halland County,19735
Jämtland County,10888
Jönköping County,22486
Kalmar County,13166
Kronoberg County,11097
Norrbotten County,16045
Skåne County,83351
Stockholm County,140766
Södermanland County,19198
Unknown,≤100
Uppsala County,26068
Värmland County,18087
Västerbotten County,16771
Västernorrland County,17427
Västmanland County,16103
Västra Götaland County,103577
Örebro County,18367
Östergötland County,25614
