Location name,Amount spent (INR)
Andaman and Nicobar Islands,247
Andhra Pradesh,64106
Arunachal Pradesh,2754
Assam,19758
Bihar,55468
Chandigarh,2469
Chhattisgarh,134989
Dadra and Nagar Haveli,1627
Delhi,45882
Goa,49517
Gujarat,55929
Haryana,40633
Himachal Pradesh,9942
Jammu and Kashmir,9872
Jharkhand,19321
Karnataka,45760
Kerala,17196
Lakshadweep,≤100
Madhya Pradesh,328005
Maharashtra,152559
Manipur,1375
Meghalaya,2809
Mizoram,4993
Nagaland,3295
Odisha,18283
Puducherry,1077
Punjab region,28886
Rajasthan,224939
Sikkim,1531
Tamil Nadu,27113
Telangana,126624
Tripura,2875
Unknown,238
Uttar Pradesh,134176
Uttarakhand,21066
West Bengal,47509
