Location name,Amount spent (AUD)
Australian Capital Territory,1749
Jervis Bay Territory,≤100
New South Wales,24107
Norfolk Island,≤100
Northern Territory,797
Queensland,16771
South Australia,7620
Tasmania,2532
Unknown,≤100
Victoria,23161
Western Australia,9100
