Location name,Amount spent (DKK)
Capital Region of Denmark,47437
Central Denmark Region,24471
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11935
Region of Southern Denmark,23025
Unknown,≤100
Zealand Region,17477
