Location name,Amount spent (DKK)
Capital Region of Denmark,37028
Central Denmark Region,16893
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,6862
Region of Southern Denmark,17116
Unknown,≤100
Zealand Region,9802
