Location name,Amount spent (EUR)
Alsace,669
Aquitaine,1445
Auvergne,476
Basse-Normandie,548
Bourgogne,574
Bretagne,1328
Centre,871
Champagne-Ardenne,494
Corse,163
Franche-Comté,385
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,105
Haute-Normandie,714
Languedoc-Roussillon,1269
Limousin,258
Lorraine,805
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1134
New Caledonia,≤100
Nord-Pas-de-Calais,1649
Pays de la Loire,1378
Picardie,736
Poitou-Charentes,688
Provence-Alpes-Côte d'Azur,2522
Reunion Island,≤100
Rhône-Alpes,2400
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4863
