Location name,Amount spent (HUF)
Baranya County,94099
Borsod-Abaúj-Zemplén County,136741
Budapest,581374
Bács-Kiskun County,112033
Békés County,74310
Csongrád County,92401
Fejér County,100394
Győr-Moson-Sopron County,97080
Hajdú-Bihar County,106287
Heves County,92838
Jász-Nagykun-Szolnok County,105029
Komárom-Esztergom County,69535
Nógrád County,38872
Pest County,254859
Somogy County,66574
Szabolcs-Szatmár-Bereg County,115789
Tolna County,49012
Unknown,≤100
Vas County,57213
Veszprém County,76776
Zala County,72866
