Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,239
Berane Municipality,≤100
Bijelo Polje Municipality,310
Budva Municipality,258
Danilovgrad Municipality,≤100
Herceg Novi Municipality,196
Kolašin Municipality,≤100
Nikšić Municipality,396
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,157
Plužine Municipality,≤100
Podgorica Capital City,1283
Rožaje Municipality,161
Tivat Municipality,266
Ulcinj Municipality,315
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
