Location name,Amount spent (RON)
Alba County,650
Arad County,959
Argeș County,1288
Bacău County,1140
Bihor County,928
Bistrița-Năsăud County,468
Botoșani County,601
Brașov County,1281
Brăila County,492
Bucharest,4029
Buzău County,677
Caraș-Severin County,534
Cluj County,3191
Constanța County,1369
Covasna County,405
Călărași County,423
Dolj County,1042
Dâmbovița County,787
Galați County,936
Giurgiu County,381
Gorj County,744
Harghita County,681
Hunedoara County,1024
Ialomița County,372
Iași County,2860
Ilfov County,764
Maramureș County,974
Mehedinți County,425
Mureș County,1167
Neamț County,1197
Olt County,508
Prahova County,1579
Satu Mare County,605
Sibiu County,720
Suceava County,1067
Sălaj County,392
Teleorman County,415
Timiș County,1411
Tulcea County,281
Unknown,≤100
Vaslui County,486
Vrancea County,608
Vâlcea County,887
