Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,469
Bangkok,14166
Bueng Kan,≤100
Buriram,361
Chachoengsao,188
Chai Nat,226
Chaiyaphum,238
Chanthaburi,648
Chiang Mai,1489
Chiang Rai,336
Chon Buri,527
Chumphon,347
Kalasin,219
Kamphaeng Phet,374
Kanchanaburi,249
Khon Kaen,438
Krabi,346
Lampang,228
Lamphun,157
Loei,157
Lop Buri,176
Mae Hong Son,317
Maha Sarakham,261
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,442
Nakhon Phanom,159
Nakhon Ratchasima,696
Nakhon Sawan,273
Nakhon Si Thammarat,2943
Nan,119
Narathiwat,218
Nong Bua Lam Phu,114
Nong Khai,159
Nonthaburi,772
Pathum Thani,546
Pattani,253
Phangnga,222
Phatthalung,343
Phayao,251
Phetchabun,221
Phetchaburi,218
Phichit,215
Phitsanulok,1765
Phrae,128
Phuket,3814
Prachin Buri,149
Prachuap Khiri Khan,374
Ranong,107
Ratchaburi,261
Rayong,291
Roi Et,336
Sa Kaeo,134
Sakon Nakhon,273
Samut Prakan,379
Samut Sakhon,295
Samut Songkhram,277
Saraburi,193
Satun,168
Sing Buri,≤100
Sisaket,324
Songkhla,1401
Sukhothai,287
Suphan Buri,502
Surat Thani,5427
Surin,331
Tak,315
Trang,334
Trat,≤100
Ubon Ratchathani,510
Udon Thani,395
Uthai Thani,≤100
Uttaradit,136
Yala Province,208
Yasothon,362
