Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
1392592317738074,Jorge Cálix,Jorge Cálix,1590,10
703368406666619,Vox Populi HN,Vox Populi HN,1169,2
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,813,1
103031135787229,Sensus,Sensus,468,7
643513979193133,Unidos por Beatriz,Neuma,419,9
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,296,2
486382251906084,Honduras El Pais,Diario El  Pais.hn,252,3
401000470308277,Acción Joven Honduras,Acción Joven Honduras,193,4
1619479898324505,Partido Liberal de Honduras,Partido Liberal de Honduras,123,1
114601521910,Jorge Aldana,Jorge  Aldana,≤100,1
302742993645788,𝗝𝗮𝗰𝗸 𝗨𝗿𝗶𝗮𝗿𝘁𝗲 𝗗𝗶𝗽𝘂𝘁𝗮𝗱𝗼,Jack Melem Uriarte Velazquez,≤100,1
130202453827085,Asociacion Calidad de Vida,Asociación Calidad de Vida,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,2
366815896693520,Milo Claure,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,2
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,1
463423310436,FIIAPP,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
105157221698425,Richmond Solution,These ads ran without a disclaimer,≤100,1
480934751930354,Luv4All: Mother Earth Warns. Wake Up Your Compassion,These ads ran without a disclaimer,≤100,2
