Location name,Amount spent (COP)
Amazonas,4955
Antioquia,5752932
Arauca,361162
Atlantico,1142385
Bolivar,467353
Boyaca,382033
Caldas,308429
Caqueta,122725
Casanare,140427
Cauca,385144
Cesar,213044
Choco,64275
Cordoba,378806
Cundinamarca,719640
Distrito Especial,3884424
Guainia,1889
Guaviare,17486
Huila,657355
La Guajira,98376
Magdalena,428464
Meta,410956
Narino,309956
Norte de Santander,495369
Putumayo,72145
Quindio,216014
Risaralda,1028804
San Andres y Providencia,13673
Santander,812522
Sucre,251289
Tolima,348275
Unknown,216
Valle del Cauca,4207394
Vaupes,1272
Vichada,2018
