Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
287241588030040,Cidade de Presidente Prudente,Prefeitura Municipal de Presidente Prudente,212,14
100107594927557,Portal O PODER,Pontual pesquisas e mídias Eireli,211,7
106091268052699,Prefeitura de Diadema,Prefeitura de Diadema,205,6
889636981377556,Colégio Marista Santo Antônio,Colégio Marista Santo Antônio,196,12
110972683845381,Conta Bemol,Bemol Serviços Financeiros,195,3
241839765912021,Estratégia Concursos,ESTRATÉGIA CONCURSOS SA,194,2
359656821563954,Geraldo Neto,Geraldo Neto Almeida,194,1
297467143670963,Colégio Marista Conceição,Colégio Marista Conceição,193,34
520803328039440,Recicla Sampa,Eco Urbis e Loga,192,16
1446921505569922,Marista São Francisco - RS,Colégio Marista São Francisco,191,22
403911956313694,Colégio Marista São Luís - RS,Colégio Marista São Luís,190,19
560599677292902,Prefeitura de Belém,Prefeitura de Belém,189,1
141670129347094,Elizeu Nascimento,Elizeu Nascimento,189,7
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,184,8
111186368956008,Academia Brasileira de Direito Constitucional,ABDConst,178,74
358384060944062,Prefeitura do Rio Grande,AD3Plus,174,1
102125465283088,DONATO,Lincoln Nunes,172,2
100380548458405,Prefeitura de Jaboticabal,Prefeitura de Jaboticabal,172,14
100106159009340,Marcelo Messias,MARCELO MESSIAS,172,1
212423668965384,Heitor Schuch,Heitor Schuch,170,28
478752158813845,Maurício Eskudlark Deputado,Assinatura Do Titular,165,3
107050055139519,Dr. Bruno Resende,Bruno Da Costa Resende,165,2
348704312899125,foconofato,FOCO NO FATO,162,16
106869981440689,Brasil Certo,BRASIL CERTO,162,15
330151147049122,Edilson Mougenot Bonfim,These ads ran without a disclaimer,162,27
105520569004820,Absolar Comunica,Associação Brasileira de Energia Solar Fotovoltaica,161,6
459226180812637,Prefeitura de Pimenta,Denis Mateus Rosa,160,3
1732023947072573,Vereador César Oliva,Vereador César Oliva,160,3
1573310519364782,Paulo Sérgio,Paulo Sérgio Ferreira,159,6
107742651063250,Academia de Pesquisa,Academia Brasileira de Formação e Pesquisa,158,28
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,157,5
1498647100170828,Prefeitos do Futuro,Prefeitos do Futuro Cursos e Treinamentos LTDA,156,8
269629626488137,Amazônia Passa Aqui,Amazônia Passa Aqui,156,7
111006700550820,Cenarium Amazônia,CENARIUM AGENCIA DE NOTICIAS EIRELI,156,19
100381658780941,agencia.brasilia,agencia.brasilia,156,23
656965247684115,Zequinha Marinho,Zequinha Marinho,152,6
1796853600564637,Jair Da Mendes Gomes,ADEJAIR SANCHES DE AGUIAR,151,2
441467489336861,Prefeitura de Sinop,Prefeitura Municipal de Sinop,147,1
131497886977001,Associação Paulista de Medicina,Associação Paulista de Medicina,146,4
102275945221840,Portal Tucumã,Portal Tucumã,144,123
555593844558092,Julinho Fuzari,Julio Fuzari,143,1
194918207213417,IMP Concursos,IMP Concursos,143,2
108147365877214,Canal Futura,Fundação Roberto Marinho,142,23
409540602424777,Luciano Ducci,LUCIANO DUCCI,141,2
342222965852417,Colégio Marista Roque,Colégio Marista Roque,140,14
1700227383437806,OC Advogados,Oliveira e Carneiro Sociedade de Advogados,139,12
176740279057602,CDL De Belo Horizonte,CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE,138,5
250960541687036,Antônio Gomide,Antonio Gomide,135,9
171342419582453,"CNC - Confederação Nacional do Comércio de Bens, Serviços e Turismo","CONFEDERACAO NACIONAL DO COMERCIO DE BENS, SERVICOS E TURISMO - CNC",134,14
107388422238271,Chapa 2 - Bouret Presidente,Carlos Eduardo de Almeida Bouret,134,26
1154995897896519,Elói Pietá,Elói Pietá,132,3
471907586160657,Marista Graças,Colégio Marista Graças,132,13
263199020531986,JOTA,JOTA,132,8
123323271155574,Virginia Mendes,Virginia Raquel Taveira E Silva Mendes Ferreira,132,2
1293195004052335,Zezildo Almeida,Zezildo,131,1
359871157981726,Decorando a Lei Seca,Decorando a Lei Seca,130,23
213048568820524,Vereador Paulo Frange,Rodrigo Carvalho,130,14
403972249688082,Prefeitura de Jaguariúna,Prefeitura de Jaguariúna,130,2
308976223304,Tintas Coral,Akzonobel,125,1
107809564197704,Cetur - Conselho Empresarial de Turismo da CNC,"CONFEDERACAO NACIONAL DO COMERCIO DE BENS, SERVICOS E TURISMO - CNC",125,22
314844381936335,Colégio Marista Pio XII,Colégio Marista Pio XII,125,14
358687161234,Proteção Animal Mundial,Sociedade Mundial de Proteção Animal - WSPA BRASIL,124,3
112021296931600,Mônica Lopes,IBPOM,123,9
1678605519056745,Rodrigo Goulart,Rodrigo Goulart,122,2
546638152036818,Ulysses Gomes,ULYSSES GOMES DE OLIVEIRA NETO,121,5
464533840225061,Colégio Marista São Pedro,Colégio Marista São Pedro,121,24
485434228470137,Tenente Coimbra,Deputado Estadual Tenente Coimbra,121,2
173480706086444,The Nature Conservancy Brasil,The Nature Conservancy Brasil,119,6
155498031194084,Colégio Marista Santa Maria - RS,Colégio Marista Santa Maria,118,24
1087471917938156,Sistema Fecomércio RJ,Fecomércio RJ,118,2
280543148741797,Colégio Marista Medianeira,Colégio Marista Medianeira,117,14
180409628639048,Oi Futuro,These ads ran without a disclaimer,117,3
108513687218374,Rogério Barra,HUGO ROGÉRIO SARMANHO BARRA,117,6
303652596391419,Colégio Marista Maria Imaculada,Colégio Marista Maria Imaculada,117,13
1073772202658318,Janaína Lima,Janaina Carla De Lima Pascalichio,117,4
746791565355599,SejaVero,Karem De Vargas Ferreira,116,1
124632230915020,Luciana Genro,Luciana Krebs Genro,115,7
154650907977540,Paulo Mantovani,Paulo Cesar De Souza Mantovani,115,1
106095141435795,Prefeitura de Manhuaçu,Prefeitura Municipal de Manhuaçu,114,3
127789930632668,Conectas Direitos Humanos,Conectas Direitos Humanos,113,4
1505339059687464,Herbarium,These ads ran without a disclaimer,112,4
1846315508945599,Jovem Pan Itapetininga,Milton De Oliveira Junior,112,7
112778851729160,Longevidade e Saúde Pública,GROWTH HUB DIGITAL LTDA,112,3
1263053750454913,Prefeitura de Caçapava,MUNICÍPIO DE CAÇAPAVA,112,7
124998294254987,Vereadora Marcia Taschetti,Marcia Aparecida Taschetti,111,4
186029714861523,Dr. Valdomiro Lopes,Valdomiro Lopes,110,3
118678938210868,SIMPI,SIMPI,109,1
1276486079064454,Prefeitura Municipal de Pitangueiras - 2021/2024,MUNICIPIO DE PITANGUEIRAS,109,7
106177618923389,Uniodontoms,Uniodonto Mato Grosso do Sul,108,1
343935282289497,Junynho Martins,Moacir Martins Da Costa Junior,107,9
167306944111245,Dr. Frederico,Frederico de Castro Escaleira,107,3
642519585761623,Hilton Coelho,Hilton de Barros Coelho,107,3
403991616637353,MEU TUDO,These ads ran without a disclaimer,104,1
578898368860170,Leila do Vôlei,Leila do Vôlei,104,4
1766519210291192,Hery Kattwinkell,Hery Waldir Kattwinkel Junior,104,2
481960978885807,Paula Belmonte,PAULA MORENO PARO BELMONTE,101,20
124116941088719,Prefeitura de Macapá,Munícipio de Macapá,≤100,1
370978756274747,Prefeitura Municipal da Estância Turística de Ilha Solteira (Oficial),MUNICÍPIO DE ILHA SOLTEIRA,≤100,2
213195252083396,Sindicato dos Metroviários de São Paulo,These ads ran without a disclaimer,≤100,1
173698339802515,Rafael Brito,Rafael Brito,≤100,2
103356970098314,Geleia Protetor,Vlademir Galdino,≤100,2
1016014891780524,Estratégia Carreira Jurídica,ESTRATEGIA CONCURSOS SA,≤100,31
172444996112900,Fundo Brasil,Fundo Brasil,≤100,25
1819748851624201,Sassá da Construção Civil,Cicero Custodio Da Silva,≤100,2
143803862450980,Célio Studart,Célio Studart Barbosa,≤100,4
144522665592650,DevMedia,DevMedia,≤100,2
