Location name,Amount spent (NOK)
Akershus,3253
Aust-Agder,462
Buskerud,1217
Finnmark,342
Hedmark,749
Hordaland,2856
Møre og Romsdal,1032
Nord-Trøndelag,489
Nordland,1056
Oppland,683
Oslo,7136
Rogaland,1985
Sogn og Fjordane,354
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,1497
Telemark,1497
Troms,827
Vest-Agder,898
Vestfold,2451
Østfold,2534
