Location name,Amount spent (CLP)
Antofagasta Region,69436
Araucanía Region,85026
Arica y Parinacota Region,47478
Atacama Region,30628
Aysén Region,13750
Bío Bío Region,204434
Coquimbo Region,101361
Los Lagos Region,82643
Los Ríos Region,20673
Magallanes y la Antártica Chilena Region,21925
Maule Region,54083
O'Higgins Region,61726
Santiago Metropolitan Region,881566
Tarapacá Region,37044
Unknown,≤100
Valparaíso Region,154538
