Location name,Amount spent (PYG)
Alto Paraguay Department,7910
Alto Paraná Department,49586
Amambay Department,8895
Asunción,96990
Boquerón department,9179
Caaguazú Department,38379
Caazapá Department,2355
Canindeyú Department,6453
Central Department,497113
Concepción Department (Paraguay),27420
Cordillera Department,18114
Guairá Department,8275
Itapúa Department,16514
Misiones Department,7815
Paraguarí Department,11829
Presidente Hayes Department,11738
San Pedro Department,8776
Unknown,≤100
Ñeembucú Department,3164
