Page ID,Page name,Disclaimer,Amount spent (PEN),Number of ads in Library
101665683225827,José Luna Gálvez - Pepe Luna,Laidy Diana Peceros Espinoza,18988,2
643403425797969,Yo apoyo a Pepe Luna,Laidy Diana Peceros Espinoza,5075,1
433251497093145,Digna Calle,Laidy Diana Peceros Espinoza,3218,1
109019574560600,Aula Gaceta,Joel V. Supo Baldo,308,4
264223880347121,Lampadia Oficial,LAMPADIA,251,63
335551357288,Flor de Maria Hurtado Valdez,Flor De Maria Hurtado Valdez,200,1
142062936237878,Goberna,Goberna,200,24
462790453744032,Sutep,Sindicato Unitario de Trabajadores en la Educación del Perú - SUTEP,≤100,16
100330785132565,Saca tu cuenta,Juan Jose Garcia Chau,≤100,3
1729728707258166,Gabriel Antonio Madrid Orue,Gabriel Antonio Madrid Orue,≤100,2
110736538245244,Joaquín Alcalde De Cajamarca,Jesus Moya Cerquin,≤100,1
892724110780342,Remurpe,Red de Municipalidades Urbanas y Rurales del Perú,≤100,3
133644486670469,JustoMedio,Marco Antonio Arrunategui Cevallos,≤100,1
455802295156178,Nuestramerica TV,Crhistian Jorge Peralta Ramírez,≤100,4
341727142519006,Demus-Estudio para la Defensa de los Derechos de la Mujer,DEMUS - Estudio para la Defensa de los Derechos de las Mujeres,≤100,2
495706950531442,Pepe Feria,Pepe Feria,≤100,1
103753489693220,Acciona,These ads ran without a disclaimer,≤100,1
316564475960113,Estudio Jurídico Tarazona & Asociados,Diego Alberto Isla Yengle,≤100,3
105460134372381,Clima UPCH,Clima UPCH,≤100,2
127832144570884,Hernan Sifuentes,Diana Huancaya Matos De Urresti,≤100,1
1275465342519887,Servicios Educativos El Agustino,SERVICIOS EDUCATIVOS EL AGUSTINO,≤100,1
338981689449524,Raúl Diez Canseco Terry,Percy Ramirez Ramos,≤100,1
883608538372189,Cidap Perú,José Antonio Mangini Sánchez,≤100,2
125335024157691,Promine,These ads ran without a disclaimer,≤100,1
102775842736349,Erick Melchor Torres - Regidor de Los Olivos,Enrique Godofredo Vildoso Alvarado,≤100,1
235551359867840,CooperAcción,CooperAcción,≤100,1
687691121319854,Ernesto Álvarez Miranda,Ernesto Julio Alvarez Miranda,≤100,1
474392346103738,RCR Red de Comunicación Regional,Red de Comunicación Regional,≤100,2
904225236264664,Municipalidad Distrital de Parcona,Municipalidad Distrital de Parcona,≤100,1
100677892543934,Asociación Pro Olmos,Asociación Pro Olmos,≤100,3
