Location name,Amount spent (TRY)
Adana Province,502
Adıyaman Province,≤100
Afyonkarahisar Province,1513
Aksaray Province,499
Amasya Province,≤100
Ankara Province,1228
Antalya Province,598
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,387
Ağrı Province,≤100
Balıkesir Province,271
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,798
Denizli Province,322
Diyarbakır Province,116
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,267
Erzurum Province,≤100
Eskişehir Province,283
Gaziantep Province,347
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,261
Isparta Province,224
Istanbul Province,7352
Iğdır Province,≤100
Kahramanmaraş Province,123
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,280
Kilis Province,≤100
Kocaeli Province,278
Konya Province,662
Kütahya Province,205
Kırklareli Province,136
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,317
Mardin Province,≤100
Mersin Province,1576
Muğla Province,237
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,148
Osmaniye Province,≤100
Rize Province,175
Sakarya Province,≤100
Samsun Province,249
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,169
Tekirdağ Province,232
Tokat Province,≤100
Trabzon Province,127
Tunceli Province,≤100
Unknown,≤100
Uşak Province,120
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,103
Çanakkale Province,203
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1256
Şanlıurfa Province,372
Şırnak Province,≤100
