Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,563
Bicol Region,2995
Cagayan Valley,2020
Calabarzon,16531
Caraga,1524
Central Luzon,9781
Central Visayas,6426
Cordillera Administrative Region,1226
Davao Region,2778
Eastern Visayas,2184
Ilocos Region,3559
Metro Manila,23294
Mimaropa,2060
Northern Mindanao,2617
Soccsksargen,1980
Unknown,≤100
Western Visayas,10691
Zamboanga Peninsula,1601
