Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
65929129383,Røde Kors,Røde Kors,7238,43
26458152911,SOS Børnebyerne,SOS Børnebyerne,4760,27
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,3912,6
63691965101,UNICEF Danmark,UNICEF Danmark,3717,41
59143726810,Psykiatrifonden,Psykiatrifonden,3440,11
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,3248,8
12787473132,Berlingske,Berlingske,2861,23
72672361910,Børns Vilkår,Børns Vilkår,2775,15
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,2493,17
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,2349,18
55365680705,Greenpeace Danmark,Greenpeace Danmark,2263,37
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,1216,3
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,1108,51
304554445813,Videncentret Bolius,Videncentret Bolius,1003,12
133707013355759,Danner,Danner,972,1
144965885963,Oxfam Danmark,Oxfam Danmark,864,13
102154048301476,Lederstof.dk,Lederne,820,28
126543540781090,Ældre Sagen,Ældre Sagen,811,34
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,792,4
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,783,24
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,769,8
246977185497434,Plastic Change,Plastic Change,676,25
437410226312057,Københavns Kommune,Københavns Kommune,670,4
304554445813,Videncentret Bolius,Bolius,659,3
867877683280051,Weekendavisen,Weekendavisen,596,15
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,595,1
101875098313543,Andel,Andel,593,1
116269191760882,DSB,DSB,593,6
399210657232918,PlanBørnefonden,PlanBørnefonden,590,5
41459763029,Socialdemokratiet,Socialdemokratiet,582,12
36664432940,Amnesty International Danmark,Amnesty International Danmark,542,8
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,508,11
838842776216160,Økonomi og ledelse i landbruget,Landbrug & Fødevarer F.m.b.A. SEGES,500,1
748887235210811,Obton Forvaltning A/S,Obton A/S,491,7
108041771950114,Danmarksdemokraterne,Danmarksdemokraterne,485,3
167891603415958,Lederne,Lederne,480,12
101248435485457,Frihedsbrevet,Mediehuset Friheden,465,3
1522666927799763,BCG in Denmark,Boston Consulting Group,454,4
287306323369,Børnecancerfonden,Børnecancerfonden,436,2
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,427,15
529124290474705,Nikolaj Villumsen,Enhedslisten,390,1
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,379,9
178362315106,European Parliament,European Parliament,357,4
144098125661833,Nordea Invest,Nordea Invest,346,13
17428770950,RÆSON,RÆSON,341,1
183887801641951,Verdens Skove,Verdens Skove,329,1
1685020095059164,MOLSLINJEN,These ads ran without a disclaimer,299,1
105511328705392,HØRT,Børns Vilkår,298,5
852608988134698,Tikko,Tikko,293,10
1595135787365287,Dansk Retursystem,Dansk Retursystem,278,1
87468072466,Copenhagen Pride,Copenhagen Pride,277,1
533315386692100,DRC - Danmarks Restauranter & Caféer,DRC - Danmarks Restauranter & Caféer,242,2
356520931077196,Europabevægelsen,Europabevægelsen,199,5
106952222676974,Liberal Alliance,These ads ran without a disclaimer,189,1
264009771074617,Niels Fuglsang,Niels Fuglsang,186,10
246097715413231,Alkohol & Samfund,Alkohol & Samfund,166,6
110560691837684,SolCompagniet,SolCompagniet,145,8
494902077334290,Tuborgfondet,Tuborgfondet,145,4
369336273158091,Land of Hope,Land of Hope,132,7
115737371820702,DEO - Demokrati i Europa,DEO - Demokrati i Europa Oplysningsforbundet,130,2
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,VPU - Vandværkerne i Aarhus,124,3
101485233013148,Futoria,Futoria,123,3
177588925606965,Landsforeningen for Bæredygtigt Landbrug,Landsforeningen for Bæredygtigt Landbrug,105,3
740422585980030,Forælder Fonden,Forælder Fonden,≤100,1
154415494575789,IDA,IDA,≤100,2
