Location name,Amount spent (EUR)
Attica (region),8949
Central Greece (region),923
Central Macedonia,4029
Crete,1767
Eastern Macedonia and Thrace,1426
Epirus (region),786
Ionian Islands (region),425
Northern Aegean,375
Peloponnese (region),1243
Southern Aegean,847
Thessaly,1529
Unknown,≤100
Western Greece,1464
Western Macedonia,726
